id_topics,words
14,"0.012*""harper"" + 0.008*""liberals"" + 0.008*""joe"" + 0.008*""work"" + 0.007*""fail"" + 0.006*""canada"" + 0.006*""germany"" + 0.006*""economic"" + 0.006*""point"" + 0.006*""average"" + 0.005*""unions"" + 0.004*""suppose"" + 0.004*""year"" + 0.004*""sense"" + 0.004*""circle"" + 0.004*""neoliberals"" + 0.004*""operate"" + 0.004*""within"" + 0.004*""refer"" + 0.004*""sometimes"" + 0.004*""workfare"" + 0.004*""spill"" + 0.004*""despite"" + 0.004*""white"" + 0.004*""stupid"" + 0.004*""end"" + 0.004*""social"" + 0.004*""environment"" + 0.004*""record"" + 0.004*""hour"""
15,"0.019*""elderly"" + 0.013*""tax"" + 0.007*""country"" + 0.007*""israel"" + 0.006*""pay"" + 0.006*""work"" + 0.005*""canada"" + 0.005*""economy"" + 0.005*""hand"" + 0.005*""economic"" + 0.005*""money"" + 0.005*""help"" + 0.005*""cost"" + 0.005*""level"" + 0.004*""job"" + 0.004*""wag"" + 0.004*""federal"" + 0.004*""ones"" + 0.004*""oas"" + 0.004*""corp"" + 0.004*""lower"" + 0.004*""pension"" + 0.004*""spread"" + 0.004*""invest"" + 0.004*""world"" + 0.004*""resources"" + 0.004*""fund"" + 0.004*""oil"" + 0.004*""manufacture"" + 0.004*""end"""
16,"0.007*""man"" + 0.007*""line"" + 0.007*""young"" + 0.007*""lie"" + 0.007*""pay"" + 0.007*""surprise"" + 0.005*""risk"" + 0.005*""state"" + 0.005*""hes"" + 0.005*""screwups"" + 0.005*""work"" + 0.005*""tankers"" + 0.005*""stop"" + 0.005*""enbridge"" + 0.005*""natural"" + 0.005*""canada"" + 0.005*""game"" + 0.005*""service"" + 0.005*""full"" + 0.005*""perk"" + 0.005*""incompetent"" + 0.005*""lazy"" + 0.005*""sense"" + 0.005*""normal"" + 0.004*""employees"" + 0.004*""benefit"" + 0.003*""plan"" + 0.002*""harper"" + 0.002*""book"" + 0.002*""money"""
17,"0.019*""program"" + 0.011*""work"" + 0.007*""term"" + 0.007*""canadian"" + 0.006*""workers"" + 0.006*""pay"" + 0.006*""canadians"" + 0.006*""worry"" + 0.006*""liberals"" + 0.006*""canada"" + 0.006*""third"" + 0.005*""wag"" + 0.005*""money"" + 0.005*""lower"" + 0.004*""guest"" + 0.004*""bill"" + 0.004*""body"" + 0.004*""year"" + 0.004*""skilled"" + 0.004*""version"" + 0.004*""theyre"" + 0.004*""tfw"" + 0.004*""reason"" + 0.004*""old"" + 0.004*""effect"" + 0.004*""general"" + 0.004*""change"" + 0.004*""language"" + 0.004*""eliminate"" + 0.004*""totally"""
18,"0.009*""mean"" + 0.009*""average"" + 0.007*""represent"" + 0.007*""point"" + 0.007*""canada"" + 0.007*""israel"" + 0.007*""add"" + 0.007*""lose"" + 0.005*""median"" + 0.005*""things"" + 0.005*""train"" + 0.005*""define"" + 0.005*""benefit"" + 0.005*""pay"" + 0.005*""value"" + 0.005*""usa"" + 0.005*""joke"" + 0.005*""cost"" + 0.005*""figure"" + 0.005*""exist"" + 0.005*""bias"" + 0.005*""debt"" + 0.005*""remember"" + 0.005*""believe"" + 0.005*""territory"" + 0.005*""war"" + 0.005*""cause"" + 0.005*""germans"" + 0.005*""world"" + 0.005*""palestinians"""
19,"0.013*""media"" + 0.009*""foreign"" + 0.009*""policy"" + 0.007*""spill"" + 0.006*""government"" + 0.006*""harper"" + 0.006*""oil"" + 0.006*""corporate"" + 0.006*""job"" + 0.006*""canadians"" + 0.006*""kitimat"" + 0.006*""sand"" + 0.006*""end"" + 0.006*""cdn"" + 0.005*""canadian"" + 0.004*""benefit"" + 0.004*""canada"" + 0.004*""coast"" + 0.004*""work"" + 0.004*""www"" + 0.004*""ship"" + 0.004*""news"" + 0.004*""comprehensive"" + 0.004*""heavy"" + 0.004*""axworthy"" + 0.004*""port"" + 0.004*""economy"" + 0.004*""conference"" + 0.004*""way"" + 0.004*""cleanup"""
20,"0.008*""government"" + 0.006*""public"" + 0.006*""sector"" + 0.006*""service"" + 0.005*""compensation"" + 0.005*""fund"" + 0.005*""social"" + 0.005*""political"" + 0.005*""hope"" + 0.005*""economic"" + 0.005*""speak"" + 0.005*""policies"" + 0.005*""oil"" + 0.005*""harper"" + 0.005*""muslim"" + 0.005*""keep"" + 0.005*""debt"" + 0.004*""spend"" + 0.004*""economy"" + 0.004*""billions"" + 0.004*""private"" + 0.004*""issue"" + 0.004*""support"" + 0.004*""columbians"" + 0.004*""british"" + 0.004*""obama"" + 0.004*""canadian"" + 0.004*""theory"" + 0.004*""solid"" + 0.004*""concern"""
21,"0.010*""government"" + 0.010*""aid"" + 0.010*""cost"" + 0.008*""concern"" + 0.007*""govt"" + 0.007*""china"" + 0.007*""labour"" + 0.007*""tax"" + 0.006*""cida"" + 0.006*""exist"" + 0.006*""change"" + 0.006*""compete"" + 0.006*""today"" + 0.005*""federal"" + 0.004*""hst"" + 0.004*""communist"" + 0.004*""lie"" + 0.004*""unless"" + 0.004*""accept"" + 0.004*""move"" + 0.004*""decisions"" + 0.004*""way"" + 0.004*""bank"" + 0.004*""canadians"" + 0.004*""profit"" + 0.003*""average"" + 0.003*""harper"" + 0.003*""work"" + 0.003*""canadas"" + 0.003*""write"""
22,"0.030*""sector"" + 0.027*""public"" + 0.019*""private"" + 0.014*""service"" + 0.008*""work"" + 0.007*""wag"" + 0.006*""tax"" + 0.006*""pay"" + 0.005*""unions"" + 0.005*""way"" + 0.005*""article"" + 0.005*""afford"" + 0.004*""government"" + 0.004*""wage"" + 0.004*""job"" + 0.004*""create"" + 0.004*""american"" + 0.004*""employees"" + 0.004*""employee"" + 0.004*""cause"" + 0.004*""compensation"" + 0.004*""force"" + 0.003*""cut"" + 0.003*""time"" + 0.003*""average"" + 0.003*""incentive"" + 0.003*""benefit"" + 0.003*""european"" + 0.003*""morale"" + 0.003*""things"""
23,"0.007*""meet"" + 0.005*""cost"" + 0.005*""step"" + 0.005*""stop"" + 0.005*""article"" + 0.005*""work"" + 0.005*""time"" + 0.004*""canadian"" + 0.004*""sleeze"" + 0.004*""shoot"" + 0.004*""employees"" + 0.004*""enbridge"" + 0.004*""spill"" + 0.004*""leaders"" + 0.004*""efforts"" + 0.004*""politicians"" + 0.004*""disaster"" + 0.004*""medical"" + 0.004*""result"" + 0.004*""minister"" + 0.004*""help"" + 0.004*""youd"" + 0.004*""seniors"" + 0.004*""dare"" + 0.004*""baird"" + 0.004*""unions"" + 0.004*""lie"" + 0.004*""shelter"" + 0.004*""build"" + 0.004*""river"""
24,"0.027*""workers"" + 0.018*""employers"" + 0.016*""sick"" + 0.014*""canadian"" + 0.013*""hire"" + 0.013*""train"" + 0.011*""pay"" + 0.010*""inexperienced"" + 0.010*""company"" + 0.008*""work"" + 0.007*""year"" + 0.007*""civil"" + 0.007*""wag"" + 0.006*""experience"" + 0.006*""job"" + 0.005*""public"" + 0.005*""endbridge"" + 0.005*""age"" + 0.005*""spill"" + 0.005*""large"" + 0.005*""cost"" + 0.005*""mean"" + 0.005*""way"" + 0.005*""worker"" + 0.005*""servants"" + 0.005*""competitor"" + 0.005*""israel"" + 0.005*""land"" + 0.005*""extend"" + 0.005*""time"""
25,"0.009*""poll"" + 0.009*""bonuses"" + 0.008*""responsible"" + 0.006*""conservatives"" + 0.006*""spill"" + 0.006*""deficit"" + 0.006*""issue"" + 0.005*""money"" + 0.004*""term"" + 0.004*""doctor"" + 0.004*""short"" + 0.004*""apply"" + 0.004*""word"" + 0.004*""attack"" + 0.004*""game"" + 0.004*""palestine"" + 0.004*""annoy"" + 0.004*""enbridge"" + 0.004*""lose"" + 0.004*""stock"" + 0.004*""company"" + 0.004*""israel"" + 0.004*""truth"" + 0.004*""action"" + 0.004*""editorial"" + 0.004*""retirement"" + 0.004*""province"" + 0.004*""pit"" + 0.004*""lie"" + 0.004*""shortages"""
26,"0.009*""canada"" + 0.008*""way"" + 0.006*""exploit"" + 0.005*""days"" + 0.005*""home"" + 0.005*""tfws"" + 0.005*""policy"" + 0.005*""age"" + 0.005*""reflect"" + 0.005*""harper"" + 0.004*""year"" + 0.004*""work"" + 0.004*""guess"" + 0.004*""article"" + 0.004*""miss"" + 0.004*""term"" + 0.004*""200"" + 0.004*""short"" + 0.004*""close"" + 0.004*""workers"" + 0.004*""situation"" + 0.004*""accord"" + 0.004*""coffee"" + 0.004*""west"" + 0.004*""notice"" + 0.004*""foreign"" + 0.004*""response"" + 0.004*""moribund"" + 0.004*""billion"" + 0.004*""resources"""
27,"0.008*""budget"" + 0.006*""provinces"" + 0.006*""order"" + 0.006*""tfws"" + 0.005*""public"" + 0.005*""palestinians"" + 0.005*""israeli"" + 0.005*""obama"" + 0.005*""israel"" + 0.005*""limit"" + 0.005*""state"" + 0.005*""draw"" + 0.005*""course"" + 0.005*""work"" + 0.005*""home"" + 0.005*""correct"" + 0.004*""fair"" + 0.004*""pension"" + 0.004*""sector"" + 0.003*""issue"" + 0.003*""world"" + 0.003*""style"" + 0.003*""black"" + 0.003*""control"" + 0.003*""debate"" + 0.003*""isreali"" + 0.003*""target"" + 0.003*""remuneration"" + 0.003*""senate"" + 0.003*""service"""
28,"0.010*""pay"" + 0.009*""pension"" + 0.009*""plan"" + 0.006*""land"" + 0.006*""israel"" + 0.006*""retirement"" + 0.006*""others"" + 0.006*""canadians"" + 0.006*""company"" + 0.006*""job"" + 0.006*""healthy"" + 0.005*""context"" + 0.005*""save"" + 0.005*""israels"" + 0.005*""lie"" + 0.005*""everyone"" + 0.005*""start"" + 0.005*""retire"" + 0.005*""move"" + 0.004*""cost"" + 0.003*""buy"" + 0.003*""occupation"" + 0.003*""response"" + 0.003*""chance"" + 0.003*""palestinian"" + 0.003*""conflict"" + 0.003*""horribly"" + 0.003*""war"" + 0.003*""service"" + 0.003*""liability"""
29,"0.013*""pay"" + 0.013*""government"" + 0.010*""service"" + 0.010*""money"" + 0.007*""employees"" + 0.007*""employer"" + 0.007*""pension"" + 0.007*""interest"" + 0.006*""workers"" + 0.006*""deal"" + 0.006*""public"" + 0.006*""cida"" + 0.005*""canadian"" + 0.005*""coal"" + 0.005*""work"" + 0.004*""unions"" + 0.004*""tax"" + 0.004*""benefit"" + 0.004*""provide"" + 0.004*""oil"" + 0.004*""paycheque"" + 0.004*""talk"" + 0.004*""job"" + 0.004*""advocate"" + 0.004*""system"" + 0.004*""business"" + 0.004*""company"" + 0.003*""environmental"" + 0.003*""pipeline"" + 0.003*""spill"""
30,"0.019*""public"" + 0.014*""work"" + 0.014*""sector"" + 0.011*""government"" + 0.010*""service"" + 0.008*""private"" + 0.008*""sick"" + 0.008*""job"" + 0.007*""federal"" + 0.006*""pay"" + 0.005*""employees"" + 0.004*""days"" + 0.004*""contract"" + 0.004*""fund"" + 0.004*""issue"" + 0.004*""tax"" + 0.004*""create"" + 0.004*""keep"" + 0.004*""matter"" + 0.004*""enbridge"" + 0.004*""privatize"" + 0.003*""increase"" + 0.003*""mean"" + 0.003*""fire"" + 0.003*""workers"" + 0.003*""cut"" + 0.003*""employee"" + 0.003*""term"" + 0.003*""correct"" + 0.003*""hard"""
31,"0.016*""pay"" + 0.015*""cost"" + 0.012*""job"" + 0.007*""buy"" + 0.007*""program"" + 0.006*""age"" + 0.006*""canada"" + 0.005*""year"" + 0.005*""cut"" + 0.005*""workers"" + 0.005*""dix"" + 0.005*""business"" + 0.005*""train"" + 0.005*""political"" + 0.005*""relative"" + 0.005*""chretien"" + 0.005*""work"" + 0.004*""money"" + 0.004*""class"" + 0.004*""doctor"" + 0.004*""drive"" + 0.004*""gov"" + 0.004*""tfw"" + 0.004*""tfws"" + 0.004*""level"" + 0.004*""folks"" + 0.004*""service"" + 0.004*""huge"" + 0.004*""expect"" + 0.004*""party"""
32,"0.014*""harper"" + 0.011*""time"" + 0.010*""work"" + 0.009*""system"" + 0.008*""government"" + 0.008*""problem"" + 0.006*""care"" + 0.006*""health"" + 0.006*""war"" + 0.006*""several"" + 0.005*""pay"" + 0.005*""opposition"" + 0.005*""pipelines"" + 0.005*""state"" + 0.005*""elderly"" + 0.005*""stories"" + 0.005*""contract"" + 0.004*""article"" + 0.004*""level"" + 0.004*""home"" + 0.004*""point"" + 0.004*""canada"" + 0.004*""buy"" + 0.004*""party"" + 0.004*""adscam"" + 0.004*""process"" + 0.004*""immigrant"" + 0.004*""surgery"" + 0.004*""standards"" + 0.004*""blah"""
33,"0.011*""land"" + 0.011*""manufacture"" + 0.008*""wealth"" + 0.008*""canada"" + 0.007*""provinces"" + 0.006*""pay"" + 0.005*""tax"" + 0.005*""knowledge"" + 0.005*""force"" + 0.005*""whose"" + 0.005*""state"" + 0.005*""time"" + 0.005*""seize"" + 0.005*""player"" + 0.005*""game"" + 0.005*""manufacturers"" + 0.005*""raise"" + 0.003*""government"" + 0.003*""chretien"" + 0.003*""tenets"" + 0.003*""afford"" + 0.003*""boys"" + 0.003*""teachers"" + 0.003*""tomorrow"" + 0.003*""hold"" + 0.003*""geopolitical"" + 0.003*""power"" + 0.003*""problem"" + 0.003*""justice"" + 0.003*""fiscal"""
34,"0.016*""harper"" + 0.014*""cut"" + 0.012*""spend"" + 0.012*""tax"" + 0.010*""cyprus"" + 0.009*""system"" + 0.008*""bank"" + 0.008*""money"" + 0.007*""canadas"" + 0.007*""company"" + 0.006*""pensioners"" + 0.006*""train"" + 0.006*""help"" + 0.006*""happen"" + 0.005*""save"" + 0.004*""government"" + 0.004*""financial"" + 0.004*""wente"" + 0.004*""cypriot"" + 0.004*""home"" + 0.004*""news"" + 0.004*""folks"" + 0.004*""thing"" + 0.004*""fault"" + 0.004*""liberal"" + 0.004*""hes"" + 0.004*""reputation"" + 0.004*""failure"" + 0.004*""surplus"" + 0.004*""except"""
35,"0.018*""work"" + 0.013*""seat"" + 0.008*""win"" + 0.007*""mean"" + 0.006*""point"" + 0.005*""oil"" + 0.005*""money"" + 0.005*""majority"" + 0.005*""social"" + 0.005*""unions"" + 0.005*""service"" + 0.004*""government"" + 0.004*""ontario"" + 0.004*""ndp"" + 0.004*""full"" + 0.004*""issue"" + 0.004*""power"" + 0.004*""israel"" + 0.004*""worst"" + 0.004*""politics"" + 0.004*""canada"" + 0.004*""anti"" + 0.004*""million"" + 0.004*""american"" + 0.004*""thumb"" + 0.004*""lack"" + 0.004*""likely"" + 0.003*""change"" + 0.003*""typically"" + 0.003*""president"""
36,"0.038*""sick"" + 0.024*""days"" + 0.020*""time"" + 0.014*""sector"" + 0.014*""public"" + 0.013*""weekend"" + 0.010*""holiday"" + 0.009*""work"" + 0.009*""adjacent"" + 0.009*""bank"" + 0.008*""private"" + 0.006*""tax"" + 0.006*""system"" + 0.006*""pay"" + 0.005*""workers"" + 0.005*""consecutive"" + 0.005*""common"" + 0.005*""ones"" + 0.005*""unions"" + 0.004*""govt"" + 0.004*""average"" + 0.004*""single"" + 0.004*""abuse"" + 0.004*""servants"" + 0.004*""expect"" + 0.004*""stop"" + 0.004*""way"" + 0.004*""northern"" + 0.004*""absences"" + 0.004*""analysis"""
37,"0.015*""sick"" + 0.013*""days"" + 0.010*""reject"" + 0.009*""public"" + 0.009*""globe"" + 0.008*""term"" + 0.008*""pipeline"" + 0.008*""article"" + 0.006*""work"" + 0.006*""plan"" + 0.006*""number"" + 0.006*""point"" + 0.006*""pay"" + 0.005*""time"" + 0.005*""reason"" + 0.005*""workers"" + 0.005*""way"" + 0.005*""sector"" + 0.005*""comment"" + 0.005*""wait"" + 0.005*""world"" + 0.005*""canada"" + 0.004*""benefit"" + 0.004*""israel"" + 0.004*""everyone"" + 0.004*""management"" + 0.004*""block"" + 0.004*""senior"" + 0.004*""teachers"" + 0.004*""spill"""
38,"0.024*""work"" + 0.024*""pay"" + 0.023*""sick"" + 0.020*""sector"" + 0.019*""public"" + 0.014*""days"" + 0.014*""private"" + 0.013*""benefit"" + 0.011*""government"" + 0.011*""workers"" + 0.011*""pension"" + 0.009*""employees"" + 0.008*""year"" + 0.008*""job"" + 0.008*""time"" + 0.007*""federal"" + 0.006*""average"" + 0.006*""service"" + 0.005*""tax"" + 0.005*""servants"" + 0.005*""bank"" + 0.005*""problem"" + 0.004*""employer"" + 0.004*""retire"" + 0.004*""compensation"" + 0.004*""everyone"" + 0.004*""condition"" + 0.004*""worker"" + 0.004*""package"" + 0.003*""plan"""
39,"0.044*""health"" + 0.043*""care"" + 0.036*""government"" + 0.025*""money"" + 0.020*""provinces"" + 0.017*""federal"" + 0.015*""feds"" + 0.014*""tax"" + 0.014*""transfer"" + 0.011*""spend"" + 0.011*""cost"" + 0.009*""provincial"" + 0.009*""fund"" + 0.008*""canada"" + 0.008*""payments"" + 0.007*""harper"" + 0.006*""pay"" + 0.006*""country"" + 0.006*""create"" + 0.006*""private"" + 0.005*""responsibility"" + 0.005*""increase"" + 0.004*""system"" + 0.004*""force"" + 0.004*""download"" + 0.004*""public"" + 0.004*""level"" + 0.004*""power"" + 0.004*""play"" + 0.004*""issue"""
