,entity,tag
315,male,B-PER
316,doctor,I-PER
317,work,B-ORG
318,Surely,I-ORG
319,jest,I-ORG
320,talk,B-PER
321,Earth,I-PER
322,earth,B-PER
323,smoke,I-PER
324,Like,B-ORG
325,Jamaica,I-ORG
326,Great,B-ORG
327,read,I-ORG
328,Thanks,I-ORG
329,across,B-PER
330,Canada,I-PER
331,RSVP,B-ORG
332,ROTFLMA,B-ORG
333,Globe,I-ORG
334,Ethical,I-ORG
335,Journalism,I-ORG
336,many,B-PER
337,AdBlock,I-PER
338,Margaret,B-PER
339,Wente,I-PER
340,morality,B-PER
341,set,I-PER
342,Yeah,B-ORG
343,Bernie,I-ORG
344,Hughes,I-ORG
345,LOL,B-ORG
346,Seriously,I-ORG
347,Bravo,B-PER
348,Mark,I-PER
349,Lickspittle,B-PER
350,Hack,I-PER
351,Stead,B-LOC
352,Sun,B-LOC
353,news,I-LOC
354,Fox,B-PER
355,News,I-PER
356,Crapola,B-PER
357,Bob,I-PER
358,among,B-PER
359,staff,I-PER
360,link,B-PER
361,Code,I-PER
362,younger,B-PER
363,Canadians,I-PER
364,debt,B-PER
365,Absurd,I-PER
366,none,B-PER
367,Africa,I-PER
368,Worth,B-PER
369,save,I-PER
370,West,B-LOC
371,Bank,I-LOC
372,Compare,B-ORG
373,KAIROS,I-ORG
374,Lavalin,I-ORG
375,base,B-PER
376,NGO,I-PER
377,antiBS,B-LOC
378,needy,B-PER
379,Africa,I-PER
380,alone,B-PER
381,solve,I-PER
382,world,B-ORG
383,help,I-ORG
384,USA,I-ORG
385,Care,B-PER
386,next,I-PER
387,Thank,B-ORG
388,hero,I-ORG
389,Thank,I-ORG
390,many,B-PER
391,males,I-PER
392,silence,B-PER
393,stop,I-PER
394,Tabatha,B-PER
395,thank,I-PER
396,WOMEN,B-ORG
397,STAND,I-ORG
398,TOGETHER,I-ORG
399,Premier,B-PER
400,Wynne,I-PER
401,near,B-PER
402,soon,I-PER
403,area,B-PER
404,Mason,I-PER
405,morning,B-PER
406,Gary,I-PER
407,CMHC,B-LOC
408,exist,I-LOC
409,Almost,B-ORG
410,City,I-ORG
411,miss,I-ORG
412,Coal,B-PER
413,Harbour,I-PER
414,Oops,B-ORG
415,disingenuous,I-ORG
416,Vancouver,B-PER
417,Airlines,B-PER
418,Flight,I-PER
419,Thanks,B-PER
420,pass,I-PER
421,Scrap,B-PER
422,Charter,I-PER
423,Kevin,B-PER
424,Falcon,I-PER
425,Canada,B-PER
426,Shame,I-PER
427,newstoknow,B-ORG
428,guy,I-ORG
429,NIsle,I-ORG
430,strong,B-PER
431,team,I-PER
432,sail,B-PER
433,Harper,I-PER
434,Liberal,B-PER
435,NDP,I-PER
436,Forget,B-ORG
437,Thorsell,I-ORG
438,Freeland,I-ORG
439,South,B-PER
440,Korea,I-PER
441,Harper,B-ORG
442,Canada,I-ORG
443,China,B-PER
444,Japan,I-PER
445,Global,B-PER
446,scale,I-PER
447,Canada,B-ORG
448,leader,I-ORG
449,conservationLOL,I-ORG
450,Harper,B-PER
451,plus,I-PER
452,isBut,B-ORG
453,tar,I-ORG
454,sand,I-ORG
455,FIPA,B-LOC
456,stop,I-LOC
457,time,B-ORG
458,Canadian,I-ORG
459,Spring,I-ORG
460,Maple,B-LOC
461,Leafs,I-LOC
462,Chateau,B-PER
463,Laurier,I-PER
464,House,B-PER
465,Commons,I-PER
466,today,B-PER
467,Sure,I-PER
468,MrPageThank,B-LOC
469,MrPage,I-LOC
470,State,B-PER
471,Oops,I-PER
472,Israeli,B-LOC
473,Palestinians,I-LOC
474,earn,B-PER
475,Ciao,I-PER
476,Jews,B-LOC
477,Israel,I-LOC
478,defend,B-PER
479,Israel,I-PER
480,Hope,B-LOC
481,Gatekeepers,B-LOC
482,Labour,B-PER
483,Party,I-PER
484,bother,B-PER
485,easy,I-PER
486,tax,B-PER
487,estates,I-PER
488,York,B-PER
489,Times,I-PER
490,stay,B-PER
491,States,I-PER
492,Getting,B-PER
493,Caught,I-PER
494,Leggy,B-ORG
495,like,I-ORG
496,name,I-ORG
497,Danny,B-PER
498,Handelman,I-PER
499,adapt,B-PER
500,many,I-PER
501,year,B-PER
502,total,I-PER
503,seasonal,B-PER
504,Cycling,I-PER
505,Word,B-ORG
506,Copenhagen,I-ORG
507,Greece,B-LOC
508,Spain,I-LOC
509,add,B-PER
510,demand,I-PER
511,Middle,B-PER
512,East,I-PER
513,GHGs,B-PER
514,Hence,B-PER
515,oil,I-PER
516,Mecca,B-PER
517,Needles,I-PER
518,slam,B-PER
519,Canada,I-PER
520,IThats,B-PER
521,dialogue,I-PER
522,OLIVIA,B-ORG
523,OLIVIA,I-ORG
524,Ford,B-PER
525,Olivia,I-PER
526,Nureyev,B-ORG
527,Nureyev,I-ORG
528,Guess,B-PER
529,unions,I-PER
530,wise,B-PER
531,Solomon,I-PER
532,easy,B-PER
533,task,I-PER
534,side,B-PER
535,angels,I-PER
536,PBO,B-LOC
537,leash,I-LOC
538,Page,B-PER
539,next,I-PER
540,Worst,B-PER
541,Government,I-PER
542,Page,B-PER
543,miss,I-PER
544,rulers,B-ORG
545,representativesWell,I-ORG
546,majority,B-PER
547,Canadians,I-PER
548,start,B-PER
549,Nobody,I-PER
550,true,B-PER
551,Nick,I-PER
552,Fraser,B-ORG
553,Institute,I-ORG
554,talk,B-PER
555,gday,I-PER
556,DTE,B-ORG
557,Anarchist,I-ORG
558,Association,I-ORG
559,York,B-PER
560,Times,I-PER
561,Whats,B-PER
562,good,I-PER
563,miles,B-ORG
564,tank,I-ORG
565,gas,I-ORG
566,Bill,B-PER
567,Lediard,I-PER
568,World,B-PER
569,War,I-PER
570,align,B-PER
571,Germany,I-PER
572,Europe,B-PER
573,similar,I-PER
574,apply,B-PER
575,Cyprus,I-PER
576,France,B-ORG
577,doom,I-ORG
578,Watch,I-ORG
579,Democracy,B-PER
580,RIP,I-PER
581,Thank,B-ORG
582,Telus,I-ORG
583,ROB,B-ORG
584,Beverley,B-PER
585,Mclachlin,I-PER
586,Stay,B-LOC
587,tune,I-LOC
588,small,B-PER
589,degree,I-PER
590,Socialists,B-PER
591,Conservatives,I-PER
592,Hamer,B-PER
593,Leader,I-PER
594,Sherry,B-PER
595,Cooper,I-PER
596,worth,B-PER
597,save,I-PER
598,Thank,B-ORG
599,Stephen,I-ORG
600,Harper,I-ORG
601,CLEAN,B-ORG
602,less,B-PER
603,month,I-PER
604,Egypt,B-LOC
605,kid,I-LOC
606,Ontario,B-PER
607,Teachers,I-PER
608,move,B-PER
609,Norway,I-PER
610,Federal,B-PER
611,GST,I-PER
612,Alberta,B-PER
613,AMAZING,I-PER
614,Good,B-PER
615,Friday,I-PER
616,Happy,B-PER
617,Easter,I-PER
618,Resurrection,B-PER
619,Dead,I-PER
620,Amen,B-ORG
621,penny,I-ORG
622,Amen,I-ORG
623,Moslems,B-LOC
624,pagans,I-LOC
625,Prepares,B-MISC
626,Brahma,B-PER
627,Amen,I-PER
628,Render,B-ORG
629,unto,I-ORG
630,Caesar,I-ORG
631,towards,B-PER
632,God,I-PER
633,Friday,B-ORG
634,Saturday,I-ORG
635,Thursday,I-ORG
636,many,B-PER
637,others,I-PER
638,viewHappy,B-PER
639,Easter,I-PER
640,Easter,B-PER
641,Gods,B-PER
642,sight,I-PER
643,Paul,B-ORG
644,liar,I-ORG
645,mass,B-PER
646,end,I-PER
647,God,B-LOC
648,sense,I-LOC
649,National,B-PER
650,Newspaper,I-PER
651,Mayor,B-PER
652,Ford,I-PER
653,CoachQ,B-PER
654,mind,I-PER
655,slat,B-LOC
656,July,I-LOC
657,honour,B-PER
658,Thanks,I-PER
659,forget,B-PER
660,Conservatives,I-PER
661,Confederation,B-PER
662,way,I-PER
663,Quebec,B-PER
664,tokenism,I-PER
665,todays,B-PER
666,money,I-PER
667,legal,B-PER
668,mean,I-PER
669,Mike,B-ORG
670,Pam,I-ORG
671,lovely,I-ORG
672,Especially,B-ORG
673,Ontario,I-ORG
674,Alberta,I-ORG
675,squeal,B-ORG
676,whyCulture,I-ORG
677,Values,I-ORG
678,Acceptance,I-ORG
679,bar,B-PER
680,NONE,I-PER
681,less,B-PER
682,issue,I-PER
683,Europe,B-PER
684,Nigeria,I-PER
685,war,B-PER
686,essay,I-PER
687,Town,B-PER
688,Mouse,I-PER
689,Goober,B-LOC
690,Hat,I-LOC
691,tip,I-LOC
692,sir,I-LOC
693,Women,B-PER
694,Male,I-PER
695,Ark,B-ORG
696,sure,I-ORG
697,English,I-ORG
698,MPs,B-ORG
699,Parliament,I-ORG
700,Got,B-LOC
701,life,I-LOC
702,Rock,I-LOC
703,Bravo,B-ORG
704,Bravo,I-ORG
705,Bravo,I-ORG
706,Happy,B-PER
707,Easter,I-PER
708,time,B-PER
709,Easter,I-PER
710,Happy,B-PER
711,Easter,I-PER
712,age,B-PER
713,anyway,I-PER
714,exist,B-PER
715,exist,I-PER
716,messy,B-PER
717,stroke,I-PER
718,adopt,B-ORG
719,End,I-ORG
720,story,I-ORG
721,forget,B-PER
722,Harper,I-PER
723,Exactly,B-PER
724,Dickie,I-PER
725,age,B-PER
726,state,I-PER
727,others,B-PER
728,Pass,I-PER
729,Wente,B-PER
730,address,I-PER
731,easy,B-PER
732,solution,I-PER
733,SUV,B-LOC
734,translate,B-PER
735,English,I-PER
736,Booyah,B-LOC
737,Working,B-PER
738,Class,I-PER
739,April,B-ORG
740,Fools,I-ORG
741,joke,I-ORG
742,low,B-PER
743,Harper,I-PER
744,days,B-ORG
745,Mulrooney,I-ORG
746,bad,I-ORG
747,Harper,I-ORG
748,eloquent,B-PER
749,Bigot,I-PER
750,Danger,B-LOC
751,Country,I-LOC
752,DJW,B-ORG
753,Love,I-ORG
754,man,I-ORG
755,stand,B-PER
756,mislead,I-PER
757,Tar,B-ORG
758,duck,I-ORG
759,Geese,I-ORG
760,Maude,B-LOC
761,mind,I-LOC
762,Save,B-LOC
763,Planet,I-LOC
764,Area,B-PER
765,ELA,I-PER
766,Dear,B-PER
767,Leader,I-PER
768,Canadians,B-PER
769,like,I-PER
770,Demos,B-ORG
771,CLAPTRAP,I-ORG
772,CANADIANS,B-ORG
773,CARE,I-ORG
774,EVERYONES,B-ORG
775,FUTURE,I-ORG
776,CLEAN,I-ORG
777,AIR,I-ORG
778,isHypocritical,B-LOC
779,Harpocritical,I-LOC
780,NDP,B-ORG
781,Binglehavent,B-PER
782,days,I-PER
783,Mark,B-LOC
784,Rich,I-LOC
785,small,B-PER
786,mind,I-PER
787,spend,B-ORG
788,Millionin,I-ORG
789,Pandas,I-ORG
790,tax,B-PER
791,dollars,I-PER
792,Rob,B-PER
793,Ford,I-PER
794,Zealand,B-PER
795,Britain,I-PER
796,plus,B-ORG
797,alike,I-ORG
798,ICK,I-ORG
799,None,B-ORG
800,post,I-ORG
801,sense,I-ORG
802,James,B-ORG
803,post,I-ORG
804,WORDS,B-ORG
805,DESCRIBE,I-ORG
806,DISDAIN,I-ORG
807,MAN,I-ORG
808,term,B-ORG
809,Harper,I-ORG
810,ConservativesYEH,I-ORG
811,North,B-PER
812,Koreans,I-PER
813,sad,B-PER
814,sad,I-PER
815,Joe,B-ORG
816,Thank,I-ORG
817,Accepted,I-ORG
818,North,B-PER
819,Americans,I-PER
820,Kon,B-PER
821,Koolaid,I-PER
822,months,B-PER
823,Ridiculous,I-PER
824,days,B-PER
825,Dithers,I-PER
826,Western,B-PER
827,World,I-PER
828,Time,B-PER
829,Harper,I-PER
830,Harper,B-PER
831,Time,I-PER
832,Security,B-PER
833,Council,I-PER
834,Europe,B-LOC
835,support,B-PER
836,Afghans,I-PER
837,ideas,B-PER
838,CRAP,I-PER
839,Iggy,B-PER
840,Layton,I-PER
841,Harper,B-PER
842,BINGO,B-PER
843,CANADA,I-PER
844,Canada,B-LOC
845,Utter,B-ORG
846,nonsense,I-ORG
847,Trojan,B-PER
848,Horse,I-PER
849,Walrus,B-ORG
850,newsnationalpostcomrobocallsfrankvalerioteQED,I-ORG
851,true,B-PER
852,Con,I-PER
853,Walrus,B-ORG
854,Actual,I-ORG
855,examples,I-ORG
856,Soon,B-PER
857,topple,I-PER
858,Better,B-PER
859,Princess,I-PER
860,Problem,B-PER
861,like,I-PER
862,spot,B-PER
863,David,I-PER
864,Coachs,B-PER
865,Corner,I-PER
866,Easter,B-LOC
867,Monday,I-LOC
868,dark,B-PER
869,age,I-PER
870,size,B-PER
871,expense,I-PER
872,annual,B-PER
873,list,I-PER
874,Better,B-ORG
875,vote,I-ORG
876,Hudak,I-ORG
877,eat,B-PER
878,stop,I-PER
879,Board,B-LOC
880,like,I-LOC
881,MPs,B-LOC
882,MLAs,I-LOC
883,jazz,B-LOC
884,list,I-LOC
885,like,B-PER
886,Greece,I-PER
887,issue,B-PER
888,Mar,I-PER
889,Bon,B-LOC
890,Appetite,I-LOC
891,Ontario,B-ORG
892,Canada,I-ORG
893,WrightEnlighten,B-ORG
894,usIm,I-ORG
895,ears,I-ORG
896,Canadians,B-ORG
897,Nest,I-ORG
898,pas,I-ORG
899,CanadaSo,B-LOC
900,lose,I-LOC
901,Public,B-PER
902,Works,I-PER
903,John,B-PER
904,Lorinc,I-PER
905,Rob,B-LOC
906,Ford,I-LOC
907,next,I-LOC
908,mayor,I-LOC
909,Libs,B-PER
910,Hypocrisy,I-PER
911,Scrimbo,B-ORG
912,Absolutly,I-ORG
913,like,B-PER
914,Ford,I-PER
915,Ontario,B-PER
916,Thank,I-PER
917,Simply,B-LOC
918,good,I-LOC
919,dub,B-PER
920,Fiberals,I-PER
921,easy,B-PER
922,Gorical,I-PER
923,young,B-PER
924,sick,I-PER
925,good,B-PER
926,Joe,I-PER
927,Doyle,B-PER
928,assist,I-PER
929,Urban,B-PER
930,Planner,I-PER
931,Liberal,B-PER
932,mirror,I-PER
933,Wisconsin,B-PER
934,North,I-PER
935,Harris,B-PER
936,Harper,I-PER
937,plan,B-PER
938,easy,I-PER
939,Tom,B-PER
940,Ralph,I-PER
941,Uncle,B-LOC
942,Tom,I-LOC
943,Lougheed,B-LOC
944,Tom,B-LOC
945,phony,I-LOC
946,Michele,B-ORG
947,soap,I-ORG
948,box,I-ORG
949,Meh,I-ORG
950,CPC,B-LOC
951,CONS,I-LOC
952,post,B-PER
953,Cheers,I-PER
954,Mike,B-ORG
955,Patton,I-ORG
956,Ralph,B-ORG
957,JOB,I-ORG
958,Shirley,B-LOC
959,Temple,I-LOC
960,whose,B-ORG
961,Tom,I-ORG
962,Flanagan,I-ORG
963,link,B-PER
964,puzzle,I-PER
965,man,B-LOC
966,opinions,I-LOC
967,North,B-LOC
968,America,I-LOC
969,moon,B-PER
970,LoL,I-PER
971,Ralph,B-PER
972,Kleins,I-PER
973,Harris,B-LOC
974,University,B-PER
975,Calgary,I-PER
976,Flanagan,B-PER
977,agree,I-PER
978,like,B-PER
979,Globe,I-PER
980,man,B-PER
981,Ralph,I-PER
982,Globe,B-PER
983,keep,I-PER
984,University,B-LOC
985,Calgary,I-LOC
986,Tom,B-ORG
987,Flanagan,I-ORG
988,EVIL,I-ORG
989,Globe,B-LOC
990,Whats,B-ORG
991,proposal,I-ORG
992,saviour,B-PER
993,Alberta,I-PER
994,tax,B-PER
995,good,I-PER
996,Easter,B-LOC
997,guess,I-LOC
998,Harper,B-PER
999,Newsletter,I-PER
1000,Globe,B-ORG
1001,Mail,I-ORG
1002,Disgusting,I-ORG
1003,Red,B-PER
1004,Star,I-PER
1005,Thank,B-PER
1006,Rod,I-PER
1007,Calgarian,B-ORG
1008,Albertan,I-ORG
1009,Canadian,I-ORG
1010,Ralph,B-PER
1011,meet,I-PER
1012,agree,B-PER
1013,Ralph,I-PER
1014,article,B-PER
1015,Herald,I-PER
1016,RIP,B-ORG
1017,Calgarys,B-PER
1018,LRT,I-PER
1019,Including,B-ORG
1020,Kyoto,I-ORG
1021,Human,B-PER
1022,Rights,I-PER
1023,Security,B-LOC
1024,Council,I-LOC
1025,GeneralRomeo,B-PER
1026,Dallaire,I-PER
1027,West,B-ORG
1028,pay,I-ORG
1029,Bail,I-ORG
1030,Rangoon,B-PER
1031,Hmmm,I-PER
1032,Canadian,B-LOC
1033,taxpayers,I-LOC
1034,World,B-PER
1035,War,I-PER
1036,Nuclear,B-ORG
1037,weapons,I-ORG
1038,MAD,I-ORG
1039,Cuckoo,B-ORG
1040,Cuckoo,I-ORG
1041,Good,B-PER
1042,job,I-PER
1043,old,B-PER
1044,old,I-PER
1045,Canada,B-ORG
1046,lead,I-ORG
1047,example,I-ORG
1048,Oil,B-ORG
1049,Food,I-ORG
1050,Scandalwwweconomistcomnode,I-ORG
1051,helmetWanna,B-LOC
1052,play,I-LOC
1053,Useless,B-PER
1054,Nags,I-PER
1055,turn,B-PER
1056,Mikey,I-PER
1057,Canada,B-ORG
1058,Oil,I-ORG
1059,Food,I-ORG
1060,Israel,B-LOC
1061,Utopians,B-LOC
1062,nap,I-LOC
1063,much,B-ORG
1064,money,I-ORG
1065,Canada,I-ORG
1066,Navy,I-ORG
1067,Things,B-LOC
1068,Canada,I-LOC
1069,Labour,B-ORG
1070,John,I-ORG
1071,Howard,I-ORG
1072,Liberal,I-ORG
1073,Joey,B-PER
1074,ears,I-PER
1075,Joe,B-ORG
1076,Chamberlan,I-ORG
1077,pound,B-PER
1078,sand,I-PER
1079,Thomas,B-ORG
1080,mean,I-ORG
1081,Condi,B-PER
1082,Rice,I-PER
1083,talk,B-PER
1084,CPC,I-PER
1085,Link,B-ORG
1086,liar,I-ORG
1087,Baird,B-PER
1088,Yamaka,I-PER
1089,history,B-PER
1090,Michael,I-PER
1091,like,B-PER
1092,Pearson,I-PER
1093,jflexjasonroyharper,B-ORG
1094,toadieDEFINED,I-ORG
1095,Tea,B-PER
1096,Party,I-PER
1097,Canada,B-PER
1098,today,I-PER
1099,Newfoundland,B-PER
1100,Victoria,I-PER
1101,Dictator,B-PER
1102,Country,I-PER
1103,strong,B-PER
1104,WWII,I-PER
1105,Nations,B-LOC
1106,Wouldnt,B-PER
1107,agree,I-PER
1108,United,B-LOC
1109,Nations,I-LOC
1110,next,B-PER
1111,Pearson,I-PER
1112,United,B-PER
1113,States,I-PER
1114,NOOOOO,B-ORG
1115,CANADA,I-ORG
1116,JOKE,I-ORG
1117,lessons,B-PER
1118,Pyongyang,I-PER
1119,muzzle,B-PER
1120,Bigots,I-PER
1121,Information,B-PER
1122,Commissioner,I-PER
1123,Commissioner,B-MISC
1124,postal,B-PER
1125,Harpers,I-PER
1126,Cons,B-LOC
1127,Forgoten,B-LOC
1128,happenedNice,I-LOC
1129,Wake,B-PER
1130,man,I-PER
1131,among,B-PER
1132,Conservatives,I-PER
1133,Harpers,B-ORG
1134,gang,I-ORG
1135,exReformers,I-ORG
1136,Communist,B-PER
1137,Party,I-PER
1138,misogyny,B-PER
1139,sexism,I-PER
1140,situation,B-PER
1141,Harper,I-PER
1142,Big,B-ORG
1143,MartiniExactly,I-ORG
1144,Harper,B-PER
1145,stick,I-PER
1146,MPs,B-LOC
1147,dance,B-PER
1148,joy,I-PER
1149,Harper,B-PER
1150,hand,I-PER
1151,spin,B-PER
1152,miss,I-PER
1153,Canadas,B-PER
1154,issue,I-PER
1155,directly,B-PER
1156,save,I-PER
1157,UNESCO,B-LOC
1158,UNlCEF,I-LOC
1159,aka,B-PER
1160,Americans,I-PER
1161,send,B-PER
1162,message,I-PER
1163,PIG,B-LOC
1164,TAX,I-LOC
1165,DOLLARS,I-LOC
1166,Senegal,B-LOC
1167,Harper,B-PER
1168,Harper,I-PER
1169,exist,B-PER
1170,sense,I-PER
1171,Harper,B-PER
1172,good,I-PER
1173,American,B-LOC
1174,drivel,I-LOC
1175,djw,B-ORG
1176,Explain,I-ORG
1177,skill,B-PER
1178,set,I-PER
1179,shock,B-PER
1180,SHOCKED,I-PER
1181,sound,B-ORG
1182,insane,I-ORG
1183,Exactly,B-ORG
1184,Passif,I-ORG
1185,zero,B-PER
1186,sense,I-PER
1187,Canadians,B-MISC
1188,BET,B-LOC
1189,FARM,I-LOC
1190,Resource,B-ORG
1191,Energy,I-ORG
1192,Economics,I-ORG
1193,miss,B-ORG
1194,Liberal,I-ORG
1195,star,I-ORG
1196,eye,I-ORG
1197,sad,B-PER
1198,Canada,I-PER
1199,Toronto,B-PER
1200,Sucks,I-PER
1201,BUSTED,B-ORG
1202,Canadian,B-PER
1203,GDP,I-PER
1204,Barnie,B-LOC
1205,Rubble,I-LOC
1206,Harper,B-LOC
1207,Diane,B-PER
1208,Marie,I-PER
1209,Alberta,B-PER
1210,alone,I-PER
1211,Calm,B-ORG
1212,smoke,I-ORG
1213,Mrs,B-PER
1214,Trudeau,I-PER
1215,Elysee,B-PER
